,BJD,RV,eRV,Flag,eRV_og,residuals
0,0.0,25.901329486010724,27.575173462189156,1,27.48142463,25.901329486010724
13,0.18959552899326937,-26.985624360890146,23.887143682320723,1,23.77885913,-26.985624360890146
5,1.672608175981047,-14.53139386703836,24.548879205436503,1,24.44352631,-14.53139386703836
6,3.581453555929663,-6.2394631287153,35.84206181602064,1,35.76998607,-6.2394631287153
15,4.779882701650273,60.577482280996065,39.110432324465734,1,39.04439044,60.577482280996065
19,5.8849242469119645,29.09998563463617,53.92854647429658,1,53.88067031,29.09998563463617
12,5.930985753627876,-17.822519018648336,29.78722282664819,1,29.7004571,-17.822519018648336
1,6.829392477737368,41.72449688011977,24.104983714326078,1,23.99768214,41.72449688011977
17,7.247323714223267,-28.95729711333395,18.50057504678221,1,18.3605497,-28.95729711333395
8,8.185781618736439,-20.028029867037475,41.56681511574445,1,41.50468199,-20.028029867037475
4,9.834634663316113,53.599891292082845,35.29380975561143,1,35.22061208,53.599891292082845
9,10.322945824426416,14.210471725450262,32.32176727159939,1,32.24182296,14.210471725450262
11,10.599427058187633,-12.806515143665138,27.992482184183675,1,27.90013561,-12.806515143665138
7,11.451546786087754,-33.4902106354871,29.77266881503062,1,29.68586055,-33.4902106354871
2,11.82293624790162,-62.932109048900685,37.93202620279821,1,37.86392901,-62.932109048900685
18,12.224232044563205,-19.68497494653539,31.189742425118236,1,31.10688896,-19.68497494653539
3,12.435902620488903,66.69541471930539,36.781876177945065,1,36.71164561,66.69541471930539
16,12.725014631707232,12.87046465341453,23.271497435176816,1,23.16033465,12.87046465341453
14,13.14419134904023,52.90827873117129,25.153564694560597,1,25.05075498,52.90827873117129
10,14.041839727224165,-32.62396385597751,31.930437299743105,1,31.84951074,-32.62396385597751
