Period 1	169.058
Amplitude 1	246.991
Phase 1	2.595
Ecc_sin 1	-0.073
Ecc_cos 1	0.071
Period 2	87.120
Amplitude 2	108.959
Phase 2	2.107
Ecc_sin 2	-0.027
Ecc_cos 2	0.005
Offset 1	-70.920
Jitter 1	15.500
