Parameter	MaxLogl  	MaxPost  	Mean     	Std      	00.27    	04.55    	31.73    	Median   	68.26    	95.44    	99.73    
Offset 1	-2.15812999	-2.15812999	-2.12810674	9.40391097	-19.67679235	-17.61125686	-6.47717925	-2.12144299	3.39118753	13.34944894	15.3114576
Jitter 1	59.99996336	59.99996336	59.66242821	0.24266456	59.20268508	59.29612002	59.80251222	59.70728496	59.99998127	59.99999911	59.99999911
