Parameter	MaxLogl  	MaxPost  	Mean     	Std      	00.27    	04.55    	31.73    	Median   	68.26    	95.44    	99.73    
Period 1   	169.84029605	170.17988419	169.6852517	1.07604642	167.62664278	167.91346271	169.19593645	169.69796217	170.23212606	171.44786444	171.75458542
Amplitude 1	285.10626395	263.29344267	259.78414089	13.6976529	234.36942687	237.33308343	249.38799626	258.53319651	261.6371912	280.90782041	287.34997382
Phase 1    	4.42761461	4.82741221	4.55614944	0.74859204	3.24761177	3.75003068	4.44859949	4.64271335	4.84291346	5.58281584	5.98977132
Ecc_sin 1  	-0.20978692	-0.06498745	-0.09764776	0.1076536	-0.28794069	-0.27580543	-0.15535308	-0.10276375	-0.04556698	0.07261804	0.11398707
Ecc_cos 1  	-0.49246822	-0.31143882	-0.26420882	0.1387828	-0.50058481	-0.4859966	-0.36910343	-0.28090486	-0.24167518	-0.04006833	0.02149927
Period 2   	16.38446308	14.37161635	14.56194259	0.59526675	14.30222273	14.26141915	14.36079809	14.37572496	14.39116824	14.44563875	16.39415759
Amplitude 2	71.92660217	76.96731774	77.38283216	14.66949626	49.68837958	52.44507613	70.0556897	77.09554269	84.24253555	100.91806217	105.88922654
Phase 2    	1.8761044	2.48063519	3.02067806	1.80115627	0.30761791	0.22250118	0.56389144	2.89839535	2.58475557	5.85882346	6.25330122
Ecc_sin 2  	0.01230902	-0.02504071	-0.0153226	0.11975376	-0.24871229	-0.21019721	-0.06612694	-0.01479644	0.04743277	0.18674751	0.21745589
Ecc_cos 2  	-0.1344224	-0.04909445	-0.00857596	0.11704551	-0.23722612	-0.20496482	-0.05941398	-0.00625243	0.0514346	0.18320421	0.21707552
Offset 1   	-57.53155044	-69.44871853	-68.97367533	9.3596777	-87.0590899	-84.29773315	-74.80863752	-69.43087866	-66.11351411	-53.72721199	-50.84479898
Jitter 1   	4.51556682	2.27189167	11.35204858	6.487017	0.00076149	0.00516994	7.96101168	11.21366518	15.04462927	20.17284192	22.26311092
Eccentricity 1	0.2865355	0.1012175	0.11019135	0.07497991	6.35e-06	6.1e-06	0.04991274	0.10005893	0.1211408	0.21984635	0.2563063
Longitude 1	3.54430219	3.34730918	3.48567879	0.64504688	2.15244733	2.60270172	3.3619964	3.50111592	3.70376128	4.43057702	4.88931758
Semi-Major Axis 1	0.19023562	0.19857957	0.19725563	0.00392993	0.18964082	0.19079371	0.19532506	0.19721534	0.19899854	0.20371595	0.20504696
Minimum Mass 1	0.74768297	0.77971429	0.7584166	0.04651004	0.66926441	0.68198011	0.7306785	0.75624609	0.77363936	0.83388351	0.85074263
Eccentricity 2	0.01822089	0.0030373	0.02834894	0.02642538	7e-07	7e-07	6.05e-06	0.02046318	0.01340173	0.06475114	0.08249248
Longitude 2	3.05027763	3.61324933	3.31633627	1.75740768	0.36802257	0.77701617	3.43823753	3.4177424	5.42479265	6.28301218	6.28235453
Semi-Major Axis 2	0.04134964	0.03906331	0.03837004	0.00126962	0.03642412	0.03622487	0.03763554	0.03813014	0.03841031	0.04006458	0.04172705
Minimum Mass 2	0.09640496	0.10498023	0.10049265	0.01956073	0.06349155	0.06810997	0.0896941	0.10003008	0.1086455	0.13259827	0.13853242
