Parameter	lower    	value    	higher   
Period 1	169.19593644878097	170.17988418993107	170.23212605744462
Amplitude 1	249.38799625665393	263.2934426659177	276.991095562604
Phase 1	4.4485994868639365	4.8274122114698335	4.842913460843936
Ecc_sin 1	-0.1553530789835514	-0.0649874475584631	-0.0455669811558744
Ecc_cos 1	-0.3691034323959122	-0.3114388159186172	-0.2416751849999072
Period 2	14.360798092483467	14.371616347271452	14.391168243523165
Amplitude 2	70.05568970480692	76.96731774425905	84.24253554917784
Phase 2	0.5638914433129576	2.4806351904304473	2.584755568529296
Ecc_sin 2	-0.0661269415448144	-0.0250407120011065	0.0474327728711544
Ecc_cos 2	-0.0594139789196234	-0.0490944491800982	0.051434599452873
Offset 1	-74.80863752200248	-69.44871852557873	-66.11351410958055
Jitter 1	0.0	2.2718916733529486	15.0446292737784
Eccentricity 1	0.0499127412964461	0.1012175044009544	0.1211408043016996
Longitude 1	2.702262294117799	3.3473091751261066	3.7037612821646593
Semi-Major Axis 1	0.195325062776459	0.1985795656856793	0.198998542559703
Minimum Mass 1	0.7306784992703574	0.7797142854382343	0.8262243264224425
Eccentricity 2	6.0471210516e-06	0.0030373021978196	0.0134017303203333
Longitude 2	3.438237533962705	3.6132493256391167	5.424792653436485
Semi-Major Axis 2	0.0376355419825132	0.0390633101311982	0.0403329268570588
Minimum Mass 2	0.0896941018098776	0.1049802299462769	0.1086455047146217
