Parameter	MaxLogl  	MaxPost  	Mean     	Std      	00.27    	04.55    	31.73    	Median   	68.26    	95.44    	99.73    
Period 1   	169.85318295	169.26628131	169.10868731	1.16564835	166.83995486	167.16446409	168.56070734	169.1073575	169.67131526	171.0304807	171.37499063
Amplitude 1	246.81392506	266.99615975	262.30778931	18.43118152	226.7243665	232.14911355	252.56439956	261.9410663	270.11728132	293.00995286	298.53330284
Phase 1    	5.66959543	4.71187419	3.39142924	1.85178854	0.2768843	0.62353038	4.1053532	3.71369733	5.80255044	6.23617149	6.22109679
Ecc_sin 1  	0.20390583	0.02372874	0.02222748	0.11345874	-0.19842056	-0.15823763	-0.05379188	0.01935729	0.05898695	0.21416774	0.2367647
Ecc_cos 1  	-0.0944675	-0.05904357	-0.0239751	0.12831368	-0.27654636	-0.23052807	-0.07987387	-0.02270607	0.04231074	0.18931654	0.21957561
Period 2   	115.7255367	115.49098233	114.98948139	0.75886844	113.51003155	113.76236265	114.65392024	115.00684126	115.36001178	116.27097556	116.4660553
Amplitude 2	162.68387644	202.27401671	184.92568815	27.01258679	132.82133569	140.20810282	172.18634053	184.79469434	197.77982296	228.83129199	238.14961686
Phase 2    	2.2802475	2.17490185	2.15653672	0.81091715	0.40247787	0.95929833	1.83408112	2.0801451	2.32590949	3.16310472	3.60503928
Ecc_sin 2  	-0.15248697	-0.06638722	-0.02852764	0.12122124	-0.26104886	-0.23038066	-0.08681411	-0.02879762	0.03480562	0.167913	0.19985228
Ecc_cos 2  	0.43136724	0.3399882	0.2383094	0.12562153	-0.02898822	0.03164702	0.24129882	0.25781455	0.35007714	0.43822392	0.45077044
Offset 1   	-42.17513751	-31.79315865	-35.91884235	10.5314136	-56.2051312	-53.48470058	-40.15115415	-35.93532038	-29.9263821	-18.74944569	-15.42728505
Jitter 1   	24.68649959	17.51337514	20.97560541	5.63592704	9.84529812	12.08574539	19.0592388	21.29411216	24.18452966	30.39788602	31.8405114
Eccentricity 1	0.05050169	0.0040492	0.03040615	0.02832724	8.8e-07	8.8e-07	8.8e-07	0.02229838	0.01441888	0.06853358	0.0875139
Longitude 1	2.00464695	2.75946212	2.9815825	1.69478082	0.00053737	0.01555915	1.81115368	2.86860338	3.49684704	5.51553586	5.89806647
Semi-Major Axis 1	0.19851443	0.19617684	0.19680252	0.00393567	0.18913717	0.19027748	0.19486502	0.19676698	0.19855283	0.20322089	0.20455094
Minimum Mass 1	0.73467676	0.77982505	0.77141764	0.06251782	0.65099938	0.66825947	0.73645849	0.76959605	0.79554583	0.87376026	0.89440499
Eccentricity 2	0.20932998	0.11999924	0.08808056	0.05547889	5.73e-06	8.19e-06	0.05929108	0.08471738	0.1184837	0.16371306	0.18515864
Longitude 2	5.94339864	6.09034839	3.57143376	2.63448446	0.00161385	0.14286353	5.7592867	5.34229443	6.28316816	6.28305609	6.21453216
Semi-Major Axis 2	0.1585332	0.14712061	0.15217675	0.00303607	0.14629943	0.14720591	0.15074426	0.15215251	0.15358517	0.15718361	0.15819002
Minimum Mass 2	0.44380943	0.48345959	0.47599468	0.0721352	0.33728003	0.35633013	0.43760911	0.47455998	0.50570339	0.59295931	0.6185805
