,BJD,RV,eRV,Flag,eRV_og,residuals
0,0.0,19.04594501704593,31.55102855066516,1,27.48142463,19.04594501704593
15,0.3291496121054678,-30.768660923503603,42.00836973439556,1,39.04439044,-30.768660923503603
5,0.782461558072086,16.860154647961167,28.943473899623378,1,24.44352631,16.860154647961167
6,2.691306938020702,-17.253285803273542,38.98372232558753,1,35.76998607,-17.253285803273542
16,8.274281542162427,34.56612900531886,27.86825800100372,1,23.16033465,34.56612900531886
7,10.561400168178793,-9.356949380936982,33.48864015609717,1,29.68586055,-9.356949380936982
17,17.168206971949914,-71.9029621053465,24.028077080713047,1,18.3605497,-71.9029621053465
11,21.41045693382324,-2.624121700040348,31.91639500267703,1,27.90013561,-2.624121700040348
8,21.66725134809893,-20.43438936040326,44.304371454762205,1,41.50468199,-20.43438936040326
18,22.145115302289852,77.2597555436262,34.75452839099226,1,31.10688896,77.2597555436262
19,30.177423851910063,70.85459305688676,56.06572336076146,1,53.88067031,70.85459305688676
12,45.48524832380639,-17.12489303382324,33.50157988602116,1,29.7004571,-17.12489303382324
1,49.944241519551724,-1.9750988734677435,28.567944465834294,1,23.99768214,-1.9750988734677435
9,52.54764824833181,2.15601606189081,35.77392696775824,1,32.24182296,2.15601606189081
2,54.937785289715976,-35.6683301388469,40.9135163849899,1,37.86392901,-35.6683301388469
13,68.48709079371469,-9.960330193836871,28.384376766716258,1,23.77885913,-9.960330193836871
3,69.92236800957471,54.84906046031614,39.84951224676093,1,36.71164561,54.84906046031614
10,70.63815849840101,-45.178964553466386,35.42075715294484,1,31.84951074,-45.178964553466386
14,81.44168661376165,28.778055582913566,29.458089347045444,1,25.05075498,28.778055582913566
4,81.69271639967337,-43.623266184488855,38.48025751213678,1,35.22061208,-43.623266184488855
