Parameter	lower    	value    	higher   
Period 1	168.4674309878778	169.72358267759117	170.84592352881452
Amplitude 1	265.6409677548766	276.2966281719927	278.21489096520367
Phase 1	4.396131284079358	4.574404203003569	4.914780522569963
Ecc_sin 1	-0.1544604133320012	-0.0966380074404416	-0.0409568066069871
Ecc_cos 1	-0.3378417667279906	-0.1875199025399164	-0.186746212263425
Period 2	69.71638548338039	69.99716841265797	70.43762894898744
Amplitude 2	69.70621838948958	83.95816226624032	98.70312976183273
Phase 2	0.0	1.008049571358193	5.186033659819889
Ecc_sin 2	-0.041340334593125	-0.0402718880971462	0.0680557553469123
Ecc_cos 2	-0.0609676905458204	0.0080378336123767	0.0521919528691421
Offset 1	-76.77912415193747	-72.60616840756632	-67.76245731107912
Jitter 1	13.392031974002442	19.00463656588636	25.283318417251582
Eccentricity 1	9.6288227005e-06	0.0445026183306386	0.0446485115941851
Longitude 1	3.252077444507733	3.6174431402131857	3.767744716677587
Semi-Major Axis 1	0.194829522527805	0.1957550685296176	0.1985077766171816
Minimum Mass 1	0.7670623751629331	0.8005706160159858	0.8130651716801478
Eccentricity 2	2.9064662907e-06	0.0016864317400893	0.0128281644516388
Longitude 2	0.7976191971878872	4.909389501515389	6.283185307179586
Semi-Major Axis 2	0.1084067109956146	0.1125354089526707	0.1148263325085425
Minimum Mass 2	0.1524040357995841	0.1951330911253654	0.2279739505746741
