,BJD,RV,eRV,Flag,eRV_og,residuals
0,0.0,42.93942989494327,36.65642849890434,1,27.48142463,42.93942989494327
11,30.19743475116144,-14.542436842018788,36.971375652757445,1,27.90013561,-14.542436842018788
1,49.944241519551724,24.678285897901503,34.12262883620473,1,23.99768214,24.678285897901503
12,54.272226141144586,-49.48300039340768,38.34817078492606,1,29.7004571,-49.48300039340768
2,54.937785289715976,-15.546464940962892,44.96823512964719,1,37.86392901,-15.546464940962892
3,69.92236800957471,61.43608405502309,44.00238600343336,1,36.71164561,61.43608405502309
13,77.27406861105288,-7.328060467298176,33.96909171769685,1,23.77885913,-7.328060467298176
4,81.69271639967337,-36.22366898102068,42.766301756064415,1,35.22061208,-36.22366898102068
5,87.90230625960976,16.374329543233088,34.43763971396092,1,24.44352631,16.374329543233088
6,89.81115163955837,-21.801273256722553,43.21986758481463,1,35.76998607,-21.801273256722553
14,90.22866443109984,76.29566228567141,34.87126862717947,1,25.05075498,76.29566228567141
15,96.23597213098134,16.90473053106986,45.96661261646413,1,39.04439044,16.90473053106986
7,97.68124486971647,-37.1224208023302,38.33686694547381,1,29.68586055,-37.1224208023302
16,104.1811040610383,60.34832540626152,33.53902431050889,1,23.16033465,60.34832540626152
8,108.7870960496366,-84.13068400957943,48.07393969389181,1,41.50468199,-84.13068400957943
17,113.07502949082578,-89.03036268163605,30.423261427517698,1,18.3605497,-89.03036268163605
18,118.05193782116572,35.13637950121219,39.44747889752507,1,31.10688896,35.13637950121219
19,126.08424637078593,-1.7426847727262782,59.08969185615907,1,53.88067031,-1.7426847727262782
9,139.66749294986948,-3.644499843433209,40.34848446205755,1,32.24182296,-3.644499843433209
10,157.75800319993868,11.530122631397532,40.03568889101687,1,31.84951074,11.530122631397532
