,BJD,RV,eRV,Flag
0,0.0,-25.215272371000005,27.48142463,1
1,49.944241519551724,-330.97222244100004,23.99768214,1
2,54.937785289715976,-301.44488176100003,37.86392901,1
3,69.92236800957471,-1.8256554210000075,36.71164561,1
4,81.69271639967337,16.16496362899999,35.22061208,1
5,87.90230625960976,107.74412725899998,24.44352631,1
6,89.81115163955837,79.04475993899999,35.76998607,1
7,97.68124486971647,92.39239891899999,29.68586055,1
8,108.7870960496366,62.995617968999994,41.50468199,1
9,139.66749294986948,96.26283241899999,32.24182296,1
10,157.75800319993868,27.21200632899999,31.84951074,1
11,369.88983573997393,-384.216563751,27.90013561,1
12,393.9646271299571,-345.487753881,29.7004571,1
13,416.9664695998654,8.63155987899999,23.77885913,1
14,429.92106541991234,179.07189769899998,25.05075498,1
15,435.92837311979383,142.29666306899998,39.04439044,1
16,443.8735050498508,202.96237727899998,23.16033465,1
17,452.7674304796383,59.19214805899999,18.3605497,1
18,457.7443388099782,181.23932319899998,31.10688896,1
19,465.7766473595984,133.951673979,53.88067031,1
