,BJD,RV,eRV,eRV_og,residuals
0,0.0,0.0,1.0,1.0,0.0
1,0.016673476969793592,0.0,1.0,1.0,0.0
2,0.033346953939587184,0.0,1.0,1.0,0.0
3,0.05002043090938078,0.0,1.0,1.0,0.0
4,0.06669390787917437,0.0,1.0,1.0,0.0
5,0.08336738484896797,0.0,1.0,1.0,0.0
6,0.10004086181876155,0.0,1.0,1.0,0.0
7,0.11671433878855514,0.0,1.0,1.0,0.0
8,0.13338781575834874,0.0,1.0,1.0,0.0
9,0.15006129272814234,0.0,1.0,1.0,0.0
10,0.16673476969793594,0.0,1.0,1.0,0.0
11,0.1834082466677295,0.0,1.0,1.0,0.0
12,0.2000817236375231,0.0,1.0,1.0,0.0
13,0.2167552006073167,0.0,1.0,1.0,0.0
14,0.23342867757711028,0.0,1.0,1.0,0.0
15,0.2501021545469039,0.0,1.0,1.0,0.0
16,0.2667756315166975,0.0,1.0,1.0,0.0
17,0.2834491084864911,0.0,1.0,1.0,0.0
18,0.3001225854562847,0.0,1.0,1.0,0.0
19,0.3167960624260783,0.0,1.0,1.0,0.0
20,0.3334695393958719,0.0,1.0,1.0,0.0
21,0.3501430163656654,0.0,1.0,1.0,0.0
22,0.366816493335459,0.0,1.0,1.0,0.0
23,0.3834899703052526,0.0,1.0,1.0,0.0
24,0.4001634472750462,0.0,1.0,1.0,0.0
25,0.4168369242448398,0.0,1.0,1.0,0.0
26,0.4335104012146334,0.0,1.0,1.0,0.0
27,0.450183878184427,0.0,1.0,1.0,0.0
28,0.46685735515422055,0.0,1.0,1.0,0.0
29,0.48353083212401415,0.0,1.0,1.0,0.0
30,0.5002043090938078,0.0,1.0,1.0,0.0
31,0.5168777860636014,0.0,1.0,1.0,0.0
32,0.533551263033395,0.0,1.0,1.0,0.0
33,0.5502247400031886,0.0,1.0,1.0,0.0
34,0.5668982169729821,0.0,1.0,1.0,0.0
35,0.5835716939427757,0.0,1.0,1.0,0.0
36,0.6002451709125693,0.0,1.0,1.0,0.0
37,0.616918647882363,0.0,1.0,1.0,0.0
38,0.6335921248521565,0.0,1.0,1.0,0.0
39,0.6502656018219501,0.0,1.0,1.0,0.0
40,0.6669390787917437,0.0,1.0,1.0,0.0
41,0.6836125557615372,0.0,1.0,1.0,0.0
42,0.7002860327313308,0.0,1.0,1.0,0.0
43,0.7169595097011244,0.0,1.0,1.0,0.0
44,0.733632986670918,0.0,1.0,1.0,0.0
