,BJD,RV,eRV,Flag,eRV_og,residuals
0,0.0,20.88304153443014,32.67089277042809,1,27.48142463,20.88304153443014
5,1.259717747631214,20.094222235452705,30.160313545951446,1,24.44352631,20.094222235452705
15,2.715430559901108,-23.703852226637537,42.85583927020451,1,39.04439044,-23.703852226637537
6,3.16856312757983,-15.156007602926778,39.895493958220825,1,35.76998607,-15.156007602926778
16,10.660562489958068,42.601811131573044,29.130046958809228,1,23.16033465,42.601811131573044
7,11.03865635773792,-11.714715358981934,34.54575011946457,1,29.68586055,-11.714715358981934
17,19.554487919745554,-66.45601082984467,25.48074410233363,1,18.3605497,-66.45601082984467
8,22.144507537658058,-26.459221401221143,45.10872600521401,1,41.50468199,-26.459221401221143
11,23.319481692059753,8.043426873821886,33.023871695772286,1,27.90013561,8.043426873821886
18,24.531396250085493,80.36415524096229,35.77425157137756,1,31.10688896,80.36415524096229
19,32.563704799705704,70.36721685857181,56.70348461759079,1,53.88067031,70.36721685857181
12,47.3942730820429,-24.498816064560003,34.55829403589507,1,29.7004571,-24.498816064560003
1,49.944241519551724,11.953839727835145,29.800122194630596,1,23.99768214,11.953839727835145
9,53.02490443789094,7.707596408695167,36.76538701695418,1,32.24182296,7.707596408695167
2,54.937785289715976,-20.534104915284843,41.78319823561571,1,37.86392901,-20.534104915284843
3,69.92236800957471,67.3765882763413,40.74191279403401,1,36.71164561,67.3765882763413
13,70.3961155519512,-14.830013087262746,29.624190727289484,1,23.77885913,-14.830013087262746
10,71.11541468796014,-33.97931890738742,36.421832313872066,1,31.84951074,-33.97931890738742
4,81.69271639967337,-36.79652140385187,39.40368066579926,1,35.22061208,-36.79652140385187
14,83.35071137199816,32.89628308284631,30.65450798480437,1,25.05075498,32.89628308284631
