Parameter	MaxLogl  	MaxPost  	Mean     	Std      	00.27    	04.55    	31.73    	Median   	68.26    	95.44    	99.73    
Period 1   	168.81294806	168.57870868	168.80641239	1.10221746	166.68101313	166.96819039	168.45875375	168.82602152	169.51708655	170.5852915	170.93235696
Amplitude 1	248.27918365	250.86574105	247.69996975	12.55605256	223.21407575	227.10772368	241.89359827	247.66309062	254.22416303	268.44387491	271.52539709
Phase 1    	1.22918096	0.42404066	3.23632861	1.85709534	0.23239468	0.58226372	3.99414866	3.39280896	5.99243604	6.25148926	6.20306188
Ecc_sin 1  	0.22085955	0.04309213	0.00897204	0.11468492	-0.20224211	-0.17987101	-0.05372668	0.00751468	0.05960683	0.19822913	0.24074029
Ecc_cos 1  	0.35508977	0.00912691	-0.01191512	0.12062655	-0.24584816	-0.21319568	-0.08308915	-0.01300978	0.03391934	0.18499129	0.22211474
Period 2   	86.29470315	86.64258851	87.12263119	0.66506882	85.80446369	86.0006541	86.85038858	87.13644792	87.48508897	88.18405885	88.39114416
Amplitude 2	146.11332712	102.73223264	107.56048755	13.7544176	81.64192139	84.83130739	100.7209886	107.35189497	113.87491457	130.16151054	135.26824412
Phase 2    	4.64984316	1.95532981	2.94681269	1.96583142	1.777e-05	0.00565761	0.00590623	2.74394032	1.7571362	5.75430628	6.0181495
Ecc_sin 2  	0.08222504	-0.08132918	0.01024315	0.11268923	-0.20460621	-0.17334524	-0.0664847	0.00747293	0.04156028	0.19969871	0.2322578
Ecc_cos 2  	-0.0423291	0.01865504	0.03131918	0.11507423	-0.18613672	-0.16242735	-0.03588326	0.03037216	0.07755253	0.21623148	0.25539642
Offset 1   	-71.02464033	-75.80530723	-75.03537067	8.82601062	-91.7879544	-89.38931271	-79.35140927	-75.0281583	-70.96368441	-60.35247045	-57.63484929
Jitter 1   	25.66820792	17.66800879	17.81233002	5.91942007	5.65059556	8.52474629	16.61310767	18.28702439	21.98504819	27.77731833	28.98863906
Eccentricity 1	0.17486769	0.00194023	0.02792586	0.02548559	9.85e-06	1.146e-05	1.538e-05	0.02069383	0.01336458	0.06309106	0.07954324
Longitude 1	0.55642633	1.36208079	3.04050371	1.74660836	0.0073923	0.02083465	2.13891506	3.01260879	4.14101964	5.57321493	5.93472291
Semi-Major Axis 1	0.20021001	0.19350596	0.19656932	0.00391955	0.18890326	0.19013629	0.19468927	0.19653137	0.19835218	0.20302456	0.20426615
Minimum Mass 1	0.74564668	0.7158091	0.72811626	0.04675464	0.63857562	0.65069146	0.70237866	0.72711367	0.74668139	0.80418569	0.82050932
Eccentricity 2	0.00855271	0.00696245	0.02702675	0.02483687	3.2e-07	3.2e-07	3.2e-07	0.01977848	0.01296635	0.06092676	0.07735596
Longitude 2	2.04621034	4.93786556	3.03598679	1.9859883	0.00826772	0.00283254	0.00039205	2.91993254	1.83831763	5.81564305	6.0712813
Semi-Major Axis 2	0.12660049	0.12503439	0.12647595	0.00254459	0.12153433	0.1222732	0.12526236	0.12644999	0.12764216	0.13064145	0.13150755
Minimum Mass 2	0.34860311	0.2381192	0.2536345	0.03404708	0.18803319	0.19795356	0.23390484	0.25275008	0.266396	0.31006532	0.320546
