Parameter	lower    	value    	higher   
Period 1	168.45875375022132	168.57870867578552	169.5170865524893
Amplitude 1	241.89359826618937	250.86574105347373	254.2241630312497
Phase 1	0.0	0.4240406612958312	5.992436040073335
Ecc_sin 1	-0.0537266784012132	0.0430921343201428	0.0596068306346424
Ecc_cos 1	-0.0830891532145436	0.0091269136219948	0.0339193375342638
Period 2	85.97751969134346	86.64258851197854	87.48508896641997
Amplitude 2	100.72098860065398	102.73223264405885	113.87491457162896
Phase 2	0.0059062251796871	1.9553298110094812	3.921161233130975
Ecc_sin 2	-0.1940184099205479	-0.0813291781478198	0.041560280216925
Ecc_cos 2	-0.0358832626573934	0.0186550400541982	0.077552525010009
Offset 1	-79.35140926631954	-75.8053072255069	-70.9636844069417
Jitter 1	16.613107670289768	17.668008793365484	21.98504818517696
Eccentricity 1	1.53776131498e-05	0.0019402325925286	0.0133645847058582
Longitude 1	0.0	1.3620807948768239	4.141019636028742
Semi-Major Axis 1	0.1895864083337541	0.1935059605597503	0.1983521809033044
Minimum Mass 1	0.7023786603716955	0.7158090976332215	0.7466813900617473
Eccentricity 2	3.193147029e-07	0.0069624457376235	0.0129663464447174
Longitude 2	0.0003920477881456	4.937865555599585	6.283185307179586
Semi-Major Axis 2	0.1224897924841681	0.1250343861623445	0.1276421614186656
Minimum Mass 2	0.2339048382560096	0.2381192011540729	0.2663959980954533
