Parameter	MaxLogl  	MaxPost  	Mean     	Std      	00.27    	04.55    	31.73    	Median   	68.26    	95.44    	99.73    
Period 1   	170.18974134	169.05751114	168.92134724	1.17964813	166.61746584	166.94179589	168.3826833	168.92005687	169.52318691	170.83881826	171.25929672
Amplitude 1	273.34865264	246.9914768	250.74200904	15.87867365	221.73451655	223.46263021	242.1730552	249.23287349	254.76843245	273.63700272	286.87565528
Phase 1    	4.70730285	2.59460645	3.53007115	1.76862443	0.41071013	0.79381168	3.99844227	3.99350296	5.45433089	6.2828072	6.28305423
Ecc_sin 1  	-0.16540825	-0.07284775	-0.01241202	0.12135846	-0.26719669	-0.20253288	-0.08760436	-0.0145941	0.03186647	0.1927061	0.20986177
Ecc_cos 1  	-0.47032575	0.07058112	-0.06434178	0.17228045	-0.49392467	-0.36856767	-0.07971384	-0.0391989	0.05094878	0.24034314	0.18119458
Period 2   	2.68903237	87.1198447	79.10417088	24.04292482	14.26815655	16.34916443	86.80452415	87.03940626	87.57298362	88.48666752	88.54787112
Amplitude 2	60.06458364	108.95917131	104.81405739	20.29952207	59.8451674	75.50642806	98.18363128	105.14287301	113.06450661	135.40520727	133.3027998
Phase 2    	2.78044621	2.10650742	3.06487693	1.97365537	0.06897726	0.07247331	0.02943116	2.88477565	1.95360693	5.86218083	6.09996608
Ecc_sin 2  	-0.27085493	-0.02707849	0.00543979	0.12028148	-0.21804059	-0.18583401	-0.08211284	0.00186541	0.03383927	0.20926877	0.24952614
Ecc_cos 2  	-0.20437002	0.0049968	0.0390988	0.1279278	-0.20459861	-0.16445504	-0.03332547	0.03543908	0.09008175	0.262538	0.27781343
Offset 1   	-62.60864181	-70.92028191	-73.05732442	10.62793676	-92.60643117	-89.66646964	-78.37694545	-73.53482601	-69.1689781	-57.52379024	-54.63915741
Jitter 1   	6.30878824	15.49963557	16.746462	6.76359813	2.70685152	4.89372423	15.91575468	17.60282349	21.85489099	27.13852313	28.67911507
Eccentricity 1	0.2485662	0.01028849	0.04870235	0.0666321	1.18e-06	1.18e-06	1.687e-05	0.02411898	0.01502705	0.13565776	0.23909685
Longitude 1	3.47977109	5.4819853	3.16119247	1.6199683	0.40653987	0.41494436	2.74634072	3.32715649	4.20441589	5.87894324	6.27467507
Semi-Major Axis 1	0.19320706	0.20004738	0.19665854	0.00393645	0.1889438	0.19019321	0.19469908	0.19662152	0.19838689	0.20313469	0.20435829
Minimum Mass 1	0.74602158	0.75103631	0.73497704	0.05177728	0.635692	0.6487844	0.70409218	0.73207628	0.75102134	0.818698	0.83951302
Eccentricity 2	0.1151295	0.00075821	0.03239146	0.03071012	2.49e-06	2.17e-06	2.49e-06	0.0232499	0.01483481	0.07420621	0.09890899
Longitude 2	4.06599063	4.89486644	3.11365472	2.00748609	0.00023429	0.47424116	0.00090949	3.07389483	1.8734524	6.28242711	6.06543614
Semi-Major Axis 2	0.01204967	0.12827026	0.11644159	0.02964705	0.03706865	0.04055158	0.12506093	0.12610002	0.12784356	0.13204824	0.13232324
Minimum Mass 2	0.0413853	0.26434386	0.2379538	0.06836037	0.07496769	0.09752551	0.23202314	0.24641075	0.27000492	0.31787902	0.33075586
