Parameter	lower    	value    	higher   
Period 1	168.38268329580683	169.0575111387229	169.52318690723757
Amplitude 1	242.1730552013336	246.9914767970622	254.76843245406064
Phase 1	0.8259820245256382	2.594606450012256	5.454330894382267
Ecc_sin 1	-0.087604361785133	-0.0728477497945519	0.0318664699131968
Ecc_cos 1	-0.079713836123858	0.0705811201557469	0.2428615697550618
Period 2	86.80452415462877	87.11984470153767	87.57298361990951
Amplitude 2	98.18363128460712	108.95917131401141	113.06450661324504
Phase 2	0.0294311603450576	2.106507415947527	4.080162785697042
Ecc_sin 2	-0.0821128376275536	-0.0270784904836377	0.033839268926965
Ecc_cos 2	-0.0333254736512041	0.0049967987283884	0.0900817519828863
Offset 1	-78.37694545108945	-70.92028190514384	-69.16897810268983
Jitter 1	8.736037444869925	15.499635573474537	21.854890987154505
Eccentricity 1	1.68708624637e-05	0.0102884891725696	0.0150270505753265
Longitude 1	2.746340717903442	5.481985297343861	6.283185307179586
Semi-Major Axis 1	0.1946990835288256	0.2000473773376815	0.2039838245130634
Minimum Mass 1	0.7040921760549725	0.751036313168642	0.8028135978828775
Eccentricity 2	2.493542905e-06	0.0007582126444045	0.0148348110403505
Longitude 2	0.0009094903829546	4.8948664361372325	6.283185307179586
Semi-Major Axis 2	0.1250609322229575	0.1282702588804493	0.1579173133508396
Minimum Mass 2	0.2320231397239024	0.2643438552599396	0.270004917050398
