BJD n order chunk rv e_rv norm0 e_norm0 wave0 e_wave0 wave1 e_wave1 wave2 e_wave2 ip0 e_ip0 atm0 e_atm0 atm1 e_atm1 bkg0 e_bkg0 prms
2460683.6329224585 1 1 0 0.0 0.0 296.99413804036203 inf 15139.59498870466 inf 0.050452047766782894 inf -4.781089198940615e-07 inf -0.674775144318695 inf 5.0273301520935965 inf 1.0 inf 0.32511979989427053 inf 17.724897731486823
2460683.6329224585 1 2 0 0.0 0.0 96.52236035399898 27.08760933790373 15248.006044298108 0.028035281594916032 0.04820120740525158 4.167243852926131e-05 -5.310304168646454e-07 7.079940175731803e-08 0.6534201699837857 1.1550513135090397 24.0196285123361 11.374326653658011 -0.09044523938970665 19.891327008683202 2.783260077744394 1.064826562577876 16.861251273611412
2460683.6329224585 1 3 0 0.0 0.0 5217.300752354681 77060.04877471848 15350.931382587474 0.05613852493155064 0.04587386384774042 7.270725176279597e-05 -7.436055944227199e-07 1.3894608334448188e-07 5.215362379839935 0.9585505873683363 0.8838703785937885 13.232790800596128 0.1495211298489648 2.2233486196076737 -0.9192548479084552 1.1927796987986135 14.667888871947438
2460683.6329224585 1 4 0 0.0 0.0 711.9690631058286 inf 15566.248007325874 inf 0.05625203137218664 inf -6.634850559658925e-06 inf 687.3571804241994 inf 49.923157761557725 inf 1.0 inf -0.40711817056496574 inf 12.269597156298014
2460683.6329224585 1 5 0 0.0 0.0 252.5164756073794 35.10416254183663 15671.446072736082 0.03760392345378682 0.04956822105678943 0.0001014304050854111 -6.21592368974256e-07 7.613597383954182e-08 0.7130387593839881 0.2528431256261263 4.65595626589728 4.375718840203663 1.8874143408149087 0.4104310581959615 0.5121521376166518 0.21086735304659454 11.498279180756162
2460683.6329224585 1 6 0 0.0 0.0 377.20538246637824 41.04432383671601 15777.26877277993 0.0041154383036696805 0.0469778239037131 6.464145766510401e-06 -5.864748221698074e-07 1.0662304125511169e-08 1.2494203163218078 0.12249425490564307 27.93443650530248 8.209487959768047 1.5553731191722286 0.2662201755633867 0.1573556727995223 0.12674293238370854 11.146784132077027
2460683.6329224585 1 7 0 0.0 0.0 459.5612958933785 85.33503602911519 16004.601803119096 0.007063169528006217 0.053278118958322344 3.511817923516776e-05 -5.379073005845169e-07 4.550840888691143e-08 0.8663561614826419 0.12795015996996176 11.694504975355354 4.9900543292821755 0.8760898544217309 0.22473302151751123 -0.03225664768851187 0.18044065476643534 12.875350716224194
2460683.6329224585 1 8 0 0.0 0.0 434.36894573669844 109.99223648046267 16119.025225777146 0.00694929242673591 0.050881777393703434 2.377197946786228e-05 -5.505590328154153e-07 2.679155738363458e-08 0.7855217534858362 0.15474069253656134 -0.19302914194228293 5.987244474643927 0.9043733922133014 0.3114226869384229 -0.004973294698566237 0.2529103701906103 14.26414686309148
2460683.6329224585 1 10 0 0.0 0.0 361.98205655276075 41.1208881027528 16475.069059250076 0.010854367332814854 0.05477512040012603 1.3181758871379518e-05 -6.422284988083934e-07 2.9751412082803038e-08 0.979779658289751 0.2252264581660826 7.379791605044036 3.119068231746384 1.9346209855549328 0.38166357299483755 0.40421933649806396 0.16054582102611506 13.429847592632463
2460683.6329224585 1 11 0 0.0 0.0 157.806510120359 46.34832197243878 16592.78553477279 0.031800962630501056 0.05234267389629863 5.273319299142727e-05 -7.768889162060952e-07 1.3117802562714046e-07 -0.06398890124303937 3.592123088276992 4.319253298246933 5.916782963007299 5.232403961643393 2.901225772980586 2.4447636546745164 1.0133834932798085 14.062621424834385
2460683.6329224585 1 12 0 0.0 0.0 457.8089420904608 184.2664041537523 16704.585670731758 0.038463447152701766 0.04967246800147049 2.2192417357190512e-05 -6.151449244619292e-07 5.423112263418373e-08 0.8910654344539684 0.3219274769327904 -0.03040669315833955 2.291199838806236 1.2079741282480476 0.6394538996755845 0.19625094792701595 0.4822750036760179 14.291138283553945
2460683.6329224585 1 13 0 0.0 0.0 213.69437404385775 26.93257770053311 16973.780894173848 0.018525277125260593 0.056382124455579205 2.8937142938624222e-05 -5.6473207836411e-07 4.9197204870813813e-08 0.29075826132500815 0.9370763999705451 22.49670189659372 5.4930267935743675 4.107368234051729 1.0578054890278146 1.839257455330763 0.3581261204212151 12.78289888608614
2460683.6329224585 1 14 0 0.0 0.0 365.6472252879737 35.56669925451127 17094.93073270313 0.025682645906997262 0.05382358628945558 6.153877675669785e-05 -5.937580182955343e-07 8.969157757112096e-08 2.912336037321498 0.4494895344087396 13.334217025557031 2.3889228019625643 1.318421794147244 0.603963094154419 0.6443649865309352 0.16035972153957237 13.864811286579947
2460683.6329224585 1 15 0 0.0 0.0 648.1952309711482 100.85699446404328 17210.077209189538 0.010258636773208787 0.05115634393669817 1.4072301098893367e-05 -6.239380271384474e-07 2.401957644938471e-08 1.7853916550714075 0.23729296301877986 3.111308348977117 0.670778086742633 -0.12524123436671225 0.3670376912632596 -0.17145954989949588 0.12936962044080508 15.741561745467031
2460683.6329224585 1 16 0 0.0 0.0 498.5893540151025 14.860395385665907 17503.39917327503 0.007988673236318189 0.0580936185086149 8.663443083113126e-06 -4.831337891212165e-07 2.0813994633839408e-08 2.39324352356648 0.28904282625306 3.76771699386376 0.258058106762558 0.4375915049698769 1.8917700779091888 0.0028097214913258266 0.030164413326947737 18.955985105254854
2460683.6329224585 1 17 0 0.0 0.0 493.2375110322182 4.85959019223056 17628.189700874012 0.00931284629985153 0.05554956014083314 9.209322464041258e-06 -5.456217372728408e-07 1.9367612404622676e-08 -1.2629033697480683 0.22140264466266363 3.4003833308691815 0.11266186881829698 -0.032134669554362894 1.780769125437602 0.08406444514736323 0.008462590627974902 20.38888404861033

2460683.6329224585 2 1 0 0.0 0.0 418.16371514134687 inf 15139.642452356813 inf 0.050448574209301 inf -4.856210527495607e-07 inf 0.9968197420592723 inf 4.016962154889704 inf 1.0 inf 0.07614011080919277 inf 16.819939206345584
2460683.6329224585 2 2 0 0.0 0.0 412.019366930676 626.5317564110421 15248.041238548329 0.028618880388889132 0.04820232412694402 4.016240179000262e-05 -4.466611543469927e-07 7.04581898324349e-08 -1.4306723127560081 0.785915089553417 5.674050764517179 10.008485292472509 0.012242943689728086 7.102873503136933 0.4005167860445521 2.1313399087917184 14.79021274915131
2460683.6329224585 2 3 0 0.0 0.0 2342.767878879153 13265.791762604966 15350.998504787143 0.054576335490606045 0.04614836605431756 7.575013271528054e-05 -4.903013524342991e-07 1.385897209446653e-07 15.373651420245077 16.242905123946716 2.49480401732163 14.670786058562864 0.45468244707926136 2.631512408622417 -0.7857177113043763 1.2139014880545842 13.890097620993455
