BJD n order chunk rv e_rv norm0 e_norm0 norm1 e_norm1 norm2 e_norm2 wave0 e_wave0 wave1 e_wave1 wave2 e_wave2 ip0 e_ip0 atm0 e_atm0 atm1 e_atm1 bkg0 e_bkg0 prms
2460683.6329224585 1 1 0 36.228072694441714 inf 312.61818805885497 inf 0.006629737170575661 inf 7.29865796482995e-06 inf 15139.594190959606 inf 0.05045358984190306 inf -4.7206120959070685e-07 inf -0.04209270363242277 inf 4.265667192690024 inf 1.0 inf 0.16756539172713222 inf 18.8303459057183
2460683.6329224585 1 2 0 -30.371850432323743 inf 295.5708305109299 inf 0.002811416546746156 inf 9.047402750598036e-06 inf 15247.984828730821 inf 0.04823249916785844 inf -4.877394556257025e-07 inf 0.0003031010205470641 inf 3.9338647495836794 inf 1.947557401515896 inf 0.14745066832267073 inf 17.123464079316925
2460683.6329224585 1 3 0 265.60303689427536 188.08727646346702 334.51589974347314 571.0457172863757 0.0027999512542184724 0.004866019025141563 -1.5340414989686807e-06 3.3470369713135367e-06 15350.970283429559 0.008852278046196777 0.04580675598875846 8.055119075915378e-06 -6.07608862109399e-07 1.5019337855190495e-08 0.28662662640019326 0.23240642385555563 6.0470444939443295 11.28378873225713 1.2134687883256725 2.228073340833895 0.19951582532153714 2.0487394362874585 14.669996017497125
2460683.6329224585 1 4 0 -1681.8174746420405 inf 292.45323646597797 inf 0.005830018255111169 inf -4.87937953013498e-06 inf 15558.960528620897 inf 0.05116683691062432 inf -3.012961530146402e-06 inf -0.03880510653459635 inf 53.04593741953131 inf 1.0 inf 0.400910209414869 inf 12.733745827877993
2460683.6329224585 1 5 0 15.463968198340014 inf 205.53647824320936 inf 0.0016457926984829404 inf 1.1414261969061225e-06 inf 15671.481841436642 inf 0.04946069236119614 inf -5.51009463616107e-07 inf -0.008354211751294194 inf 3.5500147738730155 inf 2.793816521279476 inf 0.8224932875269093 inf 11.344370964738806
2460683.6329224585 1 6 0 -1.9333544790518138 165.33454029224427 362.74330167640676 40.30605538832533 -0.0012512313862974478 0.0010161609500579424 4.005708284205969e-06 2.0782471857769696e-06 15777.264466368204 0.003652705834543949 0.04697208162554561 4.827284506067701e-06 -5.871980305331329e-07 8.470707090145443e-09 0.9927391653502867 0.10921512765414089 10.554226926208015 4.8598411850656245 1.3785110028676153 0.2261504277587939 0.16522901048771305 0.13000751069885322 11.317956071821426
2460683.6329224585 1 7 0 -28.28556002727821 191.5465713964066 392.80733012679696 47.3522827220152 0.006941301562403407 0.0013845329831632543 -1.5162820724327768e-06 2.3504398246562058e-06 16004.602087752006 0.00422051641286405 0.05325991984903669 1.0531792998540488e-05 -5.279733578751894e-07 1.5645827000398616e-08 0.902470128638466 0.11005867832755135 11.393582261230536 3.497958260116462 1.2111377682603142 0.2132576782002537 0.10979420854574744 0.13464228814114784 12.963971407364747
2460683.6329224585 1 8 0 -68.95942330721175 160.14034832664186 468.7950847109622 78.25202144828505 -0.002029376333878494 0.0012255050135672203 1.0297892823369977e-06 2.3468412280973213e-06 16119.018029510566 0.004207765793380576 0.0508639833138691 8.656027983831488e-06 -5.658958095341135e-07 1.1377310092768338e-08 1.014108713480647 0.09988309404499515 0.5883365819955494 2.574501105909478 0.9490139691286303 0.2119656834147843 -0.08897994479740315 0.15260530633269298 14.28696762118549
2460683.6329224585 1 10 0 -28.741289298315355 146.36884650257855 371.86285851962333 39.01857032075236 0.01079668602020844 0.001497618311731346 9.166228829522691e-07 1.8913501107351506e-06 16475.041707065924 0.00605962638135143 0.054782598100301616 6.7458677015883505e-06 -5.569353866020083e-07 1.3881781027295044e-08 0.526358961495338 0.14704897451007926 8.340678300859906 1.8391664124428169 1.5882503217886064 0.2557656641817941 0.34842970324534206 0.14202869778668759 13.530969403849632
2460683.6329224585 1 11 0 -470.42694677109444 170.49843731424647 383.9234731724678 248.64232654473255 0.0039229965812967275 0.0027312284671277883 1.952578633293171e-06 2.040289051505294e-06 16592.695059698402 0.009074961858720754 0.05228854170999752 8.353802178922922e-06 -6.733700817832717e-07 1.871438775982259e-08 0.4480751851790099 0.21967192991998116 3.857379003619978 2.7279496688952865 1.2850780861654951 1.0319722718260953 0.3877442756570226 0.8991977669168945 14.29099195883087
