,BJD,RV,eRV,Flag,eRV_og,residuals
0,0.0,48.29002844328313,33.412645969689315,1,27.48142463,48.29002844328313
14,9.938054943964516,26.459151732497787,31.443863249757015,1,25.05075498,26.459151732497787
4,11.695547987015402,-48.938549762902355,40.02084114922208,1,35.22061208,-48.938549762902355
15,15.94536264384601,-22.577378452523988,43.42396384293572,1,39.04439044,-22.577378452523988
10,17.763666374622744,33.98511780024175,37.0886444262769,1,31.84951074,33.98511780024175
5,17.90513784695179,22.320763403175306,30.962270418512386,1,24.44352631,22.320763403175306
6,19.813983226900405,-8.76364298875913,40.50516157787078,1,35.76998607,-8.76364298875913
11,19.90399367668408,-40.261308995004924,33.75786986848866,1,27.90013561,-40.261308995004924
16,23.89049457390297,53.444441611831365,29.95959465849656,1,23.16033465,53.444441611831365
7,27.684076457058495,4.050122938698678,35.24807126064448,1,29.68586055,4.050122938698678
17,32.78442000369046,-60.53121202208233,26.425101632493206,1,18.3605497,-60.53121202208233
18,37.761328334030395,72.05496151268,36.45291143065523,1,31.10688896,72.05496151268
8,38.78992763697863,-34.772271729529024,45.64882077439083,1,41.50468199,-34.772271729529024
12,43.97878506666723,3.8050444091106783,35.26036532638829,1,29.7004571,3.8050444091106783
19,45.793636883650606,24.197729846956832,57.13407778249633,1,53.88067031,24.197729846956832
1,49.944241519551724,23.151024100058237,30.611516772187226,1,23.99768214,23.151024100058237
2,54.937785289715976,-19.277824790437535,42.36570937770008,1,37.86392901,-19.277824790437535
13,66.98062753657553,-16.624152865966426,30.440275171650622,1,23.77885913,-16.624152865966426
9,69.67032453721151,-96.28422907306869,37.42607859214492,1,32.24182296,-96.28422907306869
3,69.92236800957471,43.0850753204151,41.339099341853796,1,36.71164561,43.0850753204151
